,Measurements,SpekPy,ISO,Measurements vs. ISO,Measurements vs. SpekPy,SpekPy vs. ISO
N15,14.898643749273734,12.273605483771604,12.4,-20.15035281672366,-21.387670224311893,1.019310614745128
N20,17.24801763515067,16.168434244946575,16.3,-5.816059111353811,-6.6771053637523226,0.8071518714934167
N30,25.365169371023157,24.484152515165743,24.6,-3.1104445976551043,-3.598314686659876,0.4709247350986101
N40,34.107881515747955,33.103567854399394,33.3,-2.426070617861731,-3.0338532262319085,0.5898863231249329
N60,48.85945784825772,47.63300484905786,47.9,-2.0030435245463885,-2.574796620717734,0.5574011501923493
N250,209.29659455230203,207.44500048835505,207.0,-1.1094659672956642,-0.8925710716517932,-0.21497608133094204
H60,39.22157919685802,37.75270395748996,38.0,-3.214682096994803,-3.8907815477853713,0.6507790592369389
H200,101.76663366842128,98.46857781964528,99.3,-2.4840218211694687,-3.3493485148294866,0.837283162492164
