Energy (keV),Fluence (1/cm2)
1.25,5.32533714395356e-187
1.75,0.0
2.25,6.384088579477593e-213
2.75,1.163086864169967e-122
3.25,1.574711911797074e-76
3.75,1.2611628293816984e-49
4.25,3.47329776564295e-33
4.75,1.259539692639558e-22
5.25,1.5528166135627817e-15
5.75,1.3219323964537963e-10
6.25,4.5018731215399046e-07
6.75,0.00017410306863410716
7.25,0.018714188268244385
7.75,0.45206689895532187
8.25,36.833091058801784
8.75,51.387388343089945
9.25,251.21087814077768
9.75,4201.814592644161
10.25,2679.2039705380357
10.75,5822.122997843873
11.25,17501.888394688223
11.75,22262.50411241501
12.25,32390.198106293778
12.75,47210.22888734331
13.25,65405.766987945666
13.75,85357.72103782979
14.25,105777.9688313961
14.75,125324.38775682075
15.25,142644.4945224579
15.75,156532.4009345025
16.25,166030.83186785883
16.75,170100.71142943428
17.25,168050.07728970583
17.75,158953.44522978767
18.25,142056.00428334542
18.75,116659.17635533595
19.25,81899.73371517182
19.75,36071.45468279851
