E (keV),F (1/cm2)
1.25,0.0
1.75,0.0
2.25,0.0
2.75,0.0
3.25,1.008569218204504e-298
3.75,5.078872827070532e-200
4.25,1.758051163325053e-139
4.75,1.8095594409526829e-100
5.25,3.444001157430613e-74
5.75,7.394329959597349e-56
6.25,1.1253479734680827e-42
6.75,5.5796811831013236e-33
7.25,1.5311160625844642e-25
7.75,4.2239197906142655e-20
8.25,8.384950851267816e-15
8.75,2.748221090327096e-12
9.25,1.4028971291455336e-09
9.75,1.613481787296978e-06
10.25,1.4822933822389905e-05
10.75,0.0003996822797819662
11.25,0.012615369459560146
11.75,0.08403836914036243
12.25,0.5309775815523318
12.75,2.861651606865757
13.25,12.421930595473247
13.75,43.70328356597894
14.25,128.90777576033545
14.75,328.04116868626846
15.25,736.3030543091133
15.75,1486.0593130651066
16.25,2744.446332332961
16.75,4693.389300081975
17.25,7515.4786239208315
17.75,11334.468513548623
18.25,16229.568558889992
18.75,22264.402733365572
19.25,29412.082723832
19.75,37573.182561683454
20.25,46479.91168958207
20.75,55881.250480354596
21.25,65612.24047732828
21.75,75390.55209389614
22.25,84742.23494081448
22.75,93353.03137140203
23.25,101118.85786304735
23.75,107788.85010338906
24.25,113111.239532001
24.75,116846.9964960606
25.25,118624.34296454651
25.75,118265.47987277959
26.25,115734.3898627402
26.75,110852.86123117937
27.25,103386.96049566913
27.75,92834.3275072727
28.25,79214.87524467734
28.75,62381.4811035313
29.25,42214.784698037925
29.75,18748.713731368654
