E (keV),F (1/cm2)
1.25,0.0
1.75,0.0
2.25,0.0
2.75,0.0
3.25,0.0
3.75,1.4676028957427891e-292
4.25,1.1795457828260624e-205
4.75,1.7537208213874036e-149
5.25,1.561405069738898e-111
5.75,5.606990558315252e-85
6.25,8.034877187831423e-66
6.75,1.11024989773344e-51
7.25,8.699147853337677e-41
7.75,8.60477955638111e-33
8.25,3.1272508438424094e-25
8.75,3.3819844496625376e-21
9.25,1.2604404881262039e-70
9.75,9.550257119529037e-60
10.25,1.2907263424469652e-52
10.75,1.0132858639353455e-45
11.25,2.13958768125236e-39
11.75,1.2004511315182753e-34
12.25,1.9040384244645345e-30
12.75,9.759230920201159e-27
13.25,1.7100366342989054e-23
13.75,1.1670569205426722e-20
14.25,3.509601212870103e-18
14.75,5.273516408095043e-16
15.25,4.421177184807118e-14
15.75,2.246872967630718e-12
16.25,7.32051197053362e-11
16.75,1.6252510885484728e-09
17.25,2.5897396954374614e-08
17.75,3.112926284178132e-07
18.25,2.9231773575221977e-06
18.75,2.198693366737599e-05
19.25,0.00013677746578874496
19.75,0.0007153120305058696
20.25,0.0032130940738165953
20.75,0.012608908092595907
21.25,0.04381522812360861
21.75,0.1365998825745206
22.25,0.3867489190733121
22.75,1.004236177809356
23.25,2.4107709601721226
23.75,5.392200350164786
24.25,11.31469311801268
24.75,22.408516411052364
25.25,42.132830555192385
25.75,75.56076364735678
26.25,129.7398864677207
26.75,214.10434465890063
27.25,340.74386205309236
27.75,523.3410714319684
28.25,779.2386644531938
28.75,1128.6302231405816
29.25,1593.6158967166925
29.75,2198.1456570641944
30.25,2964.308385296038
30.75,3915.194726251159
31.25,5077.288473861803
31.75,6473.459825237774
32.25,8124.366159429419
32.75,10048.250773550111
33.25,12259.642417038116
33.75,14769.246788951055
34.25,17583.133402209587
34.75,20702.882732555467
35.25,24091.359867912404
35.75,27730.816969163803
36.25,31638.411189150447
36.75,35797.337706716105
37.25,40186.169578232344
37.75,44780.591753263194
38.25,49553.410024256846
38.75,54476.415303364694
39.25,59517.567259356736
39.75,64642.32099042438
40.25,69741.3126357604
40.75,74769.36136230217
41.25,79761.04794926509
41.75,84684.6249697218
42.25,89511.1198612955
42.75,94201.78081946436
43.25,98725.60857286642
43.75,103049.0262056479
44.25,107139.7450724601
44.75,110971.33727995686
45.25,114420.72048542189
45.75,117459.29373261014
46.25,120159.79856488785
46.75,122498.28885640194
47.25,124451.8824749172
47.75,126005.84184030555
48.25,127154.09032367198
48.75,127869.51668021726
49.25,128133.09695557802
49.75,127928.02979073267
50.25,127160.7915405703
50.75,125833.04830837694
51.25,124037.50151282363
51.75,121750.14253333083
52.25,118960.4499939194
52.75,115655.21347441808
53.25,111825.84890566602
53.75,107465.90720307703
54.25,102581.4930155531
54.75,97148.47144437008
55.25,91097.23289782333
55.75,84408.61025777712
56.25,77117.3018653684
56.75,69217.73342032309
57.25,60711.82991928426
57.75,51598.111479645755
58.25,41869.724741666185
58.75,31528.941520839973
59.25,20641.682513537744
59.75,8116.67056711454
