E (keV),F (1/cm2)
1.25,0.0
1.75,0.0
2.25,0.0
2.75,0.0
3.25,0.0
3.75,7.082594390368095e-232
4.25,2.862161848473442e-162
4.75,2.3899949479408637e-117
5.25,4.790121968076432e-87
5.75,7.066324168955959e-66
6.25,1.241836041408652e-50
6.75,2.113297108301716e-39
7.25,9.219853824634283e-31
7.75,1.9131248466981036e-24
8.25,2.427752151419933e-18
8.75,2.539949079227688e-15
9.25,7.209911932341529e-31
9.75,4.72185477291594e-25
10.25,5.9203912618842655e-22
10.75,1.2971350807790143e-18
11.25,2.0396942163253647e-15
11.75,3.156312987894801e-13
12.25,3.058318205758986e-11
12.75,1.8133626892075624e-09
13.25,6.427777763240823e-08
13.75,1.429230935640204e-06
14.25,2.1280749759885243e-05
14.75,0.0002259006210631153
15.25,0.001802548377190457
15.75,0.01127073955404707
16.25,0.05695570578553162
16.75,0.23953283597445715
17.25,0.8598347017795045
17.75,2.6911874529096274
18.25,7.474172374828472
18.75,18.691788099657902
19.25,42.709090263829765
19.75,89.9286772533121
20.25,176.00063911368974
20.75,322.8486888587178
21.25,559.5149247663841
21.75,921.7275772593408
22.25,1449.453608736479
22.75,2186.3771940925903
23.25,3179.910099312477
23.75,4475.063923297817
24.25,6112.945431114506
24.75,8127.010139912573
25.25,10532.89494803073
25.75,13337.920533937728
26.25,16547.20448774084
26.75,20144.466421049416
27.25,24097.697405112198
27.75,28296.671222552755
28.25,32712.729434499433
28.75,37303.92183086994
29.25,41993.814852943804
29.75,46700.19488637494
30.25,51274.126276028466
30.75,55625.21166889714
31.25,59722.54591070654
31.75,63483.70751970853
32.25,66823.05065862069
32.75,69665.68036200962
33.25,71918.71740461155
33.75,73506.63652306635
34.25,74357.2567758824
34.75,74394.44316000128
35.25,73429.65008086439
35.75,71406.71021919233
36.25,68342.8824431364
36.75,64147.59383836339
37.25,58710.197485791374
37.75,51934.84069844656
38.25,43744.2992424114
38.75,34080.74314146536
39.25,22924.247128827457
39.75,9707.276208096133
