Quality,Mean energy (keV),HVL1 (mm),HVL2 (mm)
N15,12.273605483771604,0.15606815184313444,0.17421975760875513
N20,16.168434244946575,0.3457498789552576,0.3909432095969892
N30,24.484152515165746,1.1662634649204844,1.2813045445774816
N40,33.103567854399394,2.646491108498692,2.8317267892665843
N60,47.63300484905786,0.23236896040944352,0.25978939890001573
N250,207.44500048835505,5.13779267159709,5.180730226636042
H60,37.752703957489956,2.612644533623917,3.404538807324905
H200,98.46857781964529,1.5459478519131897,2.2755670492374653
