Energy (keV),Fluence (1/cm2)
1.25,5.03826122985194e-152
1.75,3.1718835200054224e-227
2.25,5.750364900306374e-115
2.75,1.0594781945387034e-64
3.25,1.5727251386877184e-39
3.75,1.3012812912155175e-24
4.25,1.5483645119257897e-15
4.75,9.831688700313547e-10
5.25,7.4626244637317135e-06
5.75,0.0036181835063918526
6.25,0.29685925666739954
6.75,7.34666051745774
7.25,89.28747179149322
7.75,483.2069653554053
8.25,6725.093052723056
8.75,5640.97925296172
9.25,12656.142472271977
9.75,63217.45725678631
10.25,39894.32938286143
10.75,56177.000596754675
11.25,93109.05355084209
11.75,95977.26566554082
12.25,106074.27382151772
12.75,113526.93491540258
13.25,113418.86085060162
13.75,102440.9383907624
14.25,78078.87871717248
14.75,36916.40355538976
