E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
225,1.301125295,1.301125295,1.301125295,1.301125295,1.301125295,1.301125295,1.301125295,1.301125295
250,1.288884159,1.288884159,1.288884159,1.288884159,1.288884159,1.288884159,1.288884159,1.288884159
275,1.278860074,1.278860074,1.278860074,1.278860074,1.278860074,1.278860074,1.278860074,1.278860074
300,1.269493757,1.269493757,1.269493757,1.269493757,1.269493757,1.269493757,1.269493757,1.269493757
325,1.261257232,1.261257232,1.261257232,1.261257232,1.261257232,1.261257232,1.261257232,1.261257232
350,1.253949579,1.253949579,1.253949579,1.253949579,1.253949579,1.253949579,1.253949579,1.253949579
375,1.247406257,1.247406257,1.247406257,1.247406257,1.247406257,1.247406257,1.247406257,1.247406257
400,1.241143006,1.241143006,1.241143006,1.241143006,1.241143006,1.241143006,1.241143006,1.241143006
425,1.235715231,1.235715231,1.235715231,1.235715231,1.235715231,1.235715231,1.235715231,1.235715231
450,1.230613459,1.230613459,1.230613459,1.230613459,1.230613459,1.230613459,1.230613459,1.230613459
500,1.221377876,1.221377876,1.221377876,1.221377876,1.221377876,1.221377876,1.221377876,1.221377876
550,1.213386534,1.213386534,1.213386534,1.213386534,1.213386534,1.213386534,1.213386534,1.213386534
600,1.206772782,1.206772782,1.206772782,1.206772782,1.206772782,1.206772782,1.206772782,1.206772782
662,1.200240041,1.200240041,1.200240041,1.200240041,1.200240041,1.200240041,1.200240041,1.200240041
700,1.195871833,1.195871833,1.195871833,1.195871833,1.195871833,1.195871833,1.195871833,1.195871833
800,1.186033314,1.186033314,1.186033314,1.186033314,1.186033314,1.186033314,1.186033314,1.186033314
900,1.177960304,1.177960304,1.177960304,1.177960304,1.177960304,1.177960304,1.177960304,1.177960304
1000,1.171096361,1.171096361,1.171096361,1.171096361,1.171096361,1.171096361,1.171096361,1.171096361
1250,1.157863775,1.157863775,1.157863775,1.157863775,1.157863775,1.157863775,1.157863775,1.157863775
