Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
134.8,0.56501,1.849709608
135,0.56608,1.856571747
135.2,0.94825,3.115606706
135.4,0.5117,1.684303712
135.6,0.49548,1.633863228
135.8,0.291,0.961316779
136,0.45575,1.508285554
136.2,0.39898,1.322789654
136.4,0.84874,2.819009402
136.6,0.78819,2.622614142
136.8,0.45109,1.503653425
137,0.70269,2.346544799
137.2,0.79708,2.666533153
137.4,0.55257,1.851875812
137.6,0.75523,2.535611805
137.8,0.36164,1.21634976
138,0.76945,2.592629249
138.2,0.80461,2.71595748
138.4,0.68987,2.332823435
138.6,0.36437,1.234337275
138.8,0.15214,0.516310347
139,0.018107,0.061558734
139.2,0.45496,1.549500562
139.4,0.77908,2.658125744
139.6,0.83329,2.848158717
139.8,0.29616,1.014071526
140,0.38935,1.335537742
140.2,1.2698,4.363394687
140.4,0.90451,3.113686427
140.6,0.53563,1.847131633
140.8,0.96064,3.318670908
141,0.21406,0.740813215
141.2,0.55746,1.932661023
141.4,0.87545,3.040473293
141.6,1.5983,5.560772088
141.8,1.0546,3.675619836
142,0.76588,2.674044536
142.2,0.37882,1.324966663
142.4,0.62484,2.1892939
142.6,0.63531,2.229888592
142.8,0.00027046,0.000950959
143,0.56297,1.982915799
143.2,0.65475,2.310222594
143.4,0.4677,1.653118536
143.6,0.7691,2.72318246
143.8,1.2023,4.264450443
144,0.76492,2.717825186
144.2,0.015442,0.054962098
144.4,0.85006,3.030836832
144.6,0.75347,2.691107961
144.8,0.46255,1.654912261
145,0.29056,1.041363119
145.2,0.14468,0.519426234
145.4,0.47792,1.718773032
145.6,0.74719,2.691790429
145.8,0.26652,0.961802236
146,0.80821,2.921627812
146.2,0.3297,1.193886969
146.4,0.75632,2.743420244
146.6,1.1057,4.017588395
146.8,0.35587,1.295268393
147,0.46461,1.693932402
147.2,0.48189,1.759922068
147.4,0.32284,1.181053914
147.6,0.22389,0.820451281
147.8,0.48027,1.762942406
148,1.0102,3.714440753
148.2,0.54852,2.020276351
148.4,0.51066,1.884001414
148.6,1.0567,3.905089433
148.8,0.84758,3.137535783
149,0.48622,1.802886253
149.2,0.1904,0.707178059
149.4,0,0
149.6,0.42616,1.588120893
149.8,0.689,2.571892438
150,0.69029,2.580991931
150.2,0.41358,1.548941417
150.4,0.26575,0.996938083
150.6,0.21562,0.810219062
150.8,0.96874,3.646180826
151,0.41716,1.572715767
151.2,0.58314,2.202095165
151.4,0.14018,0.530229681
151.6,0.32922,1.247320266
151.8,0.36213,1.37426069
152,0.40976,1.557564701
152.2,0.49723,1.89314919
152.4,0.4669,1.780579789
152.6,0.32561,1.243782431
152.8,0.27162,1.039241827
153,0.52437,2.009555344
153.2,0.5343,2.050943254
153.4,0.22267,0.856121869
153.6,0.42902,1.652174479
153.8,0.42993,1.658363345
154,0.4303,1.662478105
154.2,0.29312,1.134310028
154.4,0.55594,2.154840145
154.6,0.039193,0.152158264
154.8,0.91026,3.539577973
155,0.55219,2.150664369
155.2,0.36047,1.406210697
155.4,1.0771,4.208560327
155.6,0.47558,1.861214673
155.8,0.2801,1.097944642
156,0.4406,1.729837765
156.2,0.50905,2.001769041
156.4,0.4394,1.730634371
156.6,0.00071113,0.002805338
156.8,0.44453,1.756415034
157,0.44546,1.762884417
157.2,0.65442,2.593939556
157.4,0.23175,0.920047611
157.6,0.2472,0.982936373
157.8,0.0029015,0.011555401
158,0.16547,0.660033993
158.2,0.37,1.478197555
158.4,0.00050347,0.002014592
158.6,0.16778,0.672412432
158.8,0.4083,1.638913363
159,0.55637,2.236765801
159.2,1.1798,4.750556818
159.4,0.62498,2.520465075
159.6,0.50863,2.054443023
159.8,0.46459,1.879484197
160,0.22928,0.928989519
160.2,0.32778,1.33015436
160.4,0.17502,0.711346752
160.6,0.67242,2.737206172
160.8,0.31047,1.265781895
161,0.17738,0.724294812
161.2,0.56382,2.305801008
161.4,0.63454,2.599022951
161.6,0.17896,0.734135094
161.8,0.41457,1.703279546
162,0.56346,2.318560006
162.2,0.89276,3.679224662
162.4,0.3337,1.377346699
