Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
35,175.31,590.0618881
35.2,136.37,454.0738993
35.4,123.69,407.5162463
35.6,152.34,496.7168716
35.8,136.1,439.2542467
36,151.25,483.2710238
36.2,151.65,479.784763
36.4,199.73,625.7829511
36.6,206.16,639.7725909
36.8,176.08,541.2940423
37,196.53,598.5661208
37.2,170.67,515.0573115
37.4,192.19,574.772955
37.6,145.4,430.9692933
37.8,164.05,481.9710654
38,175.46,511.0099884
38.2,239.71,692.1258026
38.4,158.51,453.7762013
38.6,207.66,589.467837
38.8,208.25,586.2031265
39,211.44,590.2519404
39.2,235.01,650.6580198
39.4,268.33,736.8492586
39.6,230.72,628.4377881
39.8,254.22,686.8738019
40,237.89,637.6085659
40.2,298.7,794.2564691
40.4,260.04,686.0678647
40.6,276.47,723.817451
40.8,261.94,680.5948666
41,276.55,713.2092856
41.2,281.01,719.4013576
41.4,310.91,790.2036197
41.6,257.13,648.8729291
41.8,336.29,842.6946559
42,350.78,872.9439738
42.2,402.95,995.9624157
42.4,383.77,942.2087979
42.6,406.68,991.8740537
42.8,370.57,897.9330324
43,388.4,935.1137755
43.2,408.9,978.2607821
43.4,442.06,1051.020081
43.6,449.11,1061.240868
43.8,484.67,1138.353767
44,480.36,1121.516046
44.2,449.96,1044.376409
44.4,592.32,1366.848117
44.6,540.17,1239.397352
44.8,469.6,1071.418815
45,592.49,1344.303853
45.2,577.78,1303.760023
45.4,622.47,1397.028186
45.6,672.84,1502.042936
45.8,649.55,1442.44255
46,595.36,1315.261062
46.2,629.38,1383.317915
46.4,733.9,1604.916702
46.6,780.56,1698.46915
46.8,831.99,1801.498441
47,727.57,1567.772628
47.2,802.96,1721.956867
47.4,748.9,1598.450793
47.6,821.38,1744.990813
47.8,953.88,2017.1692
48,959.34,2019.510813
48.2,1034.8,2168.603136
48.4,977.29,2039.020773
48.6,989.64,2055.767504
48.8,1037.4,2145.680831
49,967.59,1992.762186
49.2,1029.4,2111.135674
49.4,1192.1,2434.640041
49.6,1174.8,2389.449644
49.8,1120.8,2270.362974
50,1122.6,2264.886168
50.2,1196.1,2403.656319
50.4,1200.1,2402.390269
50.6,1255.1,2503.011532
50.8,1254,2491.592788
51,1309.7,2592.880142
51.2,1357.8,2678.632028
51.4,1310.9,2577.202195
51.6,1303,2553.051354
51.8,1280,2499.742882
52,1392.7,2711.107391
52.2,1475.1,2862.512804
52.4,1520,2940.62044
52.6,1541.4,2973.118765
52.8,1490,2865.6051
53,1507,2890.065539
53.2,1566.5,2995.849241
53.4,1600.7,3052.986806
53.6,1618.9,3079.571635
53.8,1656.5,3143.015232
54,1789.6,3387.074957
54.2,1913.7,3613.142631
54.4,1782.9,3358.217815
54.6,1676.9,3151.283554
54.8,1754.5,3289.724689
55,1835.3,3433.730004
55.2,1894.1,3536.238369
55.4,1887.9,3517.41361
55.6,1840.5,3422.252162
55.8,1810.4,3359.758016
56,1976.4,3660.924386
56.2,1930.3,3569.012011
56.4,2094.1,3865.025662
56.6,2115.4,3897.65477
56.8,2214.8,4074.038126
57,2240.7,4115.072213
57.2,2336.9,4285.092367
57.4,2730.7,4999.691173
57.6,4753.1,8689.959832
57.8,10953,19997.13229
58,16315,29746.60466
58.2,12136,22098.51832
58.4,5718.7,10400.24188
58.6,3207.9,5827.019385
58.8,4385.2,7956.375097
59,9952.1,18036.87013
59.2,23156,41922.84125
59.4,28937,52336.08498
59.6,17291,31242.65718
59.8,6179.7,11155.64446
60,3226.8,5819.930091
60.2,2883.5,5196.373412
60.4,2699,4859.947933
60.6,2571.1,4626.044141
60.8,2803.3,5040.066477
61,2688.1,4829.496726
61.2,2625.4,4713.631825
61.4,2569.1,4609.554227
61.6,2653.6,4758.227551
61.8,2677.6,4798.455011
62,2751.9,4928.883644
62.2,2730.4,4887.83629
62.4,2708.5,4846.274394
62.6,2722.8,4869.653563
62.8,2610.4,4666.668806
63,3024.4,5404.695442
63.2,2826.2,5048.722456
63.4,2790.2,4982.819139
63.6,2899.3,5176.172618
63.8,2765.9,4936.765968
64,2870.8,5122.879934
64.2,3041.3,5426.132818
64.4,2992.9,5338.977169
64.6,3007.8,5364.93332
64.8,3025,5395.169824
65,2927.4,5220.848119
65.2,3015.4,5377.718752
65.4,2973.9,5303.818128
65.6,3100.8,5530.44524
65.8,3025.7,5396.985888
66,3098.2,5526.993645
66.2,3070,5477.558635
66.4,3425.1,6112.320626
66.6,4650,8300.134401
66.8,7523.1,13432.08449
67,13389,23912.45997
67.2,15702,28052.77087
67.4,12951,23146.42538
67.6,7149.5,12782.95634
67.8,4450.7,7961.119643
68,3423.7,6126.986509
68.2,3285.4,5882.474795
68.4,3328.8,5963.419274
68.6,3521.7,6312.64034
68.8,4951.8,8881.535714
69,6710.2,12043.20168
69.2,6947.5,12477.62189
69.4,5328.3,9576.437034
69.6,3766.1,6773.831888
69.8,2919.2,5254.712426
70,2670.4,4810.821228
70.2,2595.4,4679.66262
70.4,2682.9,4841.567981
70.6,2637,4762.852486
70.8,2631,4756.17287
71,2677.7,4844.879648
71.2,2662.4,4821.513154
71.4,2654.5,4811.567868
71.6,2654.8,4816.5332
71.8,2664.4,4838.449714
72,2724.1,4951.528336
72.2,2519.6,4584.191553
72.4,2660.1,4844.508595
72.6,2711.7,4943.332811
72.8,2801.7,5112.487556
73,2655.8,4851.148361
73.2,2770.3,5065.482584
73.4,2675.2,4896.677887
73.6,2752.8,5044.031133
73.8,2801.1,5138.025218
74,2747.1,5044.445593
74.2,2838,5217.106343
74.4,2973.3,5471.9416
74.6,2942.6,5421.589185
74.8,2923.3,5392.234476
75,2871.5,5302.87862
75.2,2853.8,5276.445797
75.4,2959.5,5478.467509
75.6,3020.7,5598.593984
75.8,2848,5285.060235
76,2916.1,5418.249598
76.2,3056.9,5687.123164
76.4,2936.2,5469.657344
76.6,2865.8,5345.543038
76.8,2879.4,5378.088007
77,2935.8,5490.866823
77.2,3060.4,5731.784639
77.4,2901.9,5442.521142
77.6,2946.9,5534.749538
77.8,3152,5928.470297
78,3040.1,5726.341448
78.2,3186.5,6010.981361
78.4,2993.8,5655.950165
78.6,2936.2,5555.575921
78.8,2957.9,5605.276207
79,3091.7,5868.004697
79.2,2963.4,5633.425296
79.4,3056.8,5820.336627
79.6,3115.3,5941.409783
79.8,3009.4,5748.941848
80,2998.5,5737.732646
80.2,3000.8,5751.844208
80.4,2934.2,5633.714004
80.6,2999.4,5768.670981
80.8,2844.3,5479.670276
81,2785.3,5375.143421
81.2,2970.3,5741.943535
81.4,3104.8,6012.212076
81.6,3265.7,6334.620538
81.8,3179.6,6178.202236
82,3116.3,6065.630102
82.2,2967.3,5785.5803
82.4,3067.9,5992.075934
82.6,3026.7,5921.858361
82.8,3104.9,6085.422454
83,3096,6078.557718
83.2,3045.2,5989.27076
83.4,3051.4,6011.985289
83.6,2983.6,5888.737136
83.8,2909.9,5753.401072
84,3032,6005.415509
84.2,2985.5,5923.801971
84.4,3073.2,6108.663965
84.6,2890.5,5755.760971
84.8,3009,6002.453269
85,3018.1,6031.419752
85.2,3101.5,6209.256403
85.4,2980.9,5978.602664
85.6,3010.7,6049.324526
85.8,3043.4,6126.158635
86,3068.4,6187.763483
86.2,3138.5,6340.728573
86.4,2972.6,6016.606569
86.6,3081.5,6248.535979
86.8,3218.3,6538.023593
87,3196.2,6505.200596
87.2,2941.2,5997.373028
87.4,2957.8,6042.519742
87.6,2989.3,6118.353859
87.8,2964.2,6078.431008
88,2988.4,6139.665868
88.2,2959.6,6092.060451
